Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9
week,textbook,racket,multiple,enjoyed,mark,see,many,techniques,high school
online,read,cs,multiple choice,problems,midterm,effort,term,different,school
quizzes,taken,experience,choice,found,easier,first year,recommend,proof techniques,applications
took,read textbook,coding,sense,think,exam,amazing,may,number theory,high
weekly,boring,language,ever,new,final,solve,based,proofs,review
made,notes,may,lectures,different,much,term,required,number,find
modules,teach,programming,attention,learn,still,basic,something,mathematics,concepts
hours,lectures,design,content,way,midterm final,students,possible,early,tests
help,everything,based,try,really,something,put,feel,theory,mark
mobius,class,major,someone,mathematics,people,office hours,need,great,probably
