Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
racket,notes,term,difficult,overall,passed,recommend,proof techniques,week,high school,different,multiple choice
language,textbook,effort,coming,many,midterm,may,see,weekly,school,think,sense
programming,taken,solve,challenging,amazing,midterm final,sure,techniques,quizzes,econ,enjoyed,choice
experience,lectures,day,keep,first,final,would,number,took,high,way,multiple
cs,read textbook,something,interesting,office,mark,feel,theory,hours,know,professor,exam
coding,read,since,content,logic,exam,make sure,idea,online,never,based,taken
based,multiple choice,take,good,half,want,based,math courses,made,someone,problems,able
may,multiple,amazing,especially,dependent,able,make,proofs,mobius,important,new,post
tas,study,time,find,office hours,enough,term,number theory,office,review,theory,ever
design,better,put,definitely,professor,week,possible,math,answers,answers,solve,someone
